id,hotel_name,city,state,country,category,description,price_per_night,rating,amenities,latitude,longitude,address,image_url
577645ac-062d-4e1a-9b47-e525630583ef,Budget Jungle Lodge Andaman,Andaman,Andaman,India,budget,Comfortable resort in the heart of Andaman.,809,4.5,"[""AC"", ""WiFi"", ""Reception 24x7"", ""TV""]",10.238,68.1825,"92 Station Road, Andaman",https://images.unsplash.com/photo-1445019980597-93fa8acb246c?w=800
5710a68b-0905-46f0-b098-52f1a7925d63,Hyatt Jodhpur Suites,Jodhpur,Rajasthan,India,premium,Elegant resort in the heart of Jodhpur.,9624,4.2,"[""WiFi"", ""Parking"", ""Pool"", ""Bar"", ""Restaurant"", ""Room Service"", ""Spa""]",24.5865,88.3431,"236 Temple Street, Jodhpur",https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800
8e8ee334-e89e-4b09-83dc-67a422abee40,Hilton Pune Spa Resort,Pune,Maharashtra,India,premium,Elegant resort in the heart of Pune.,10421,4.8,"[""Restaurant"", ""WiFi"", ""Parking"", ""Room Service""]",29.4472,95.1871,"224 Station Road, Pune",https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800
6cbfe1ee-df18-4c44-92a5-b9827928dfef,Star New York Retreat,New York,New York,USA,premium,Elegant property in the heart of New York.,8726,4.1,"[""WiFi"", ""Pool"", ""Room Service"", ""Conference Hall"", ""Gym"", ""Bar"", ""Spa"", ""Parking""]",7.1739,24.0309,"119 Station Road, New York",https://images.unsplash.com/photo-1571003123894-1f0594d2b5d9?w=800
e5a031a4-5a87-40a3-8e1b-ebfb3750e838,Grand Mysore Heritage Hotel,Mysore,Karnataka,India,standard,Well-appointed property in the heart of Mysore.,3886,4.2,"[""Laundry"", ""AC"", ""Parking"", ""WiFi"", ""Room Service""]",16.0621,94.0498,"308 NH-48, Mysore",https://images.unsplash.com/photo-1582719508461-905c673771fd?w=800
d9fd73ed-07ce-49e4-8365-b8999ce1afde,Holiday Kerala Beach Resort,Kerala,Kerala,India,premium,Elegant property in the heart of Kerala.,6307,4.9,"[""Spa"", ""Conference Hall"", ""Room Service""]",17.2951,77.1713,"497 NH-48, Kerala",https://images.unsplash.com/photo-1618773928121-c32242e63f39?w=800
c8974da1-f969-4530-a441-943a384faba8,Marriott Ahmedabad Beach Resort,Ahmedabad,Gujarat,India,premium,Elegant resort in the heart of Ahmedabad.,6006,3.6,"[""WiFi"", ""Bar"", ""Conference Hall"", ""Gym"", ""Pool"", ""Spa""]",15.0572,77.0585,"195 Station Road, Ahmedabad",https://images.unsplash.com/photo-1618773928121-c32242e63f39?w=800
14cf7c4e-4daa-4800-848b-fe1d1523a004,Value Eco Resort Cairo,Cairo,Cairo,Egypt,budget,Comfortable hotel in the heart of Cairo.,981,3.2,"[""TV"", ""AC"", ""WiFi"", ""Reception 24x7""]",20.8522,49.0824,"206 MG Road, Cairo",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800
49c432fc-8fd2-4bf1-ae8c-1a1020315816,Heritage Kuala Lumpur Hotel,Kuala Lumpur,KL,Malaysia,standard,Well-appointed resort in the heart of Kuala Lumpur.,2599,3.9,"[""Room Service"", ""Laundry"", ""Parking""]",29.2054,123.882,"11 Temple Street, Kuala Lumpur",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800
247985ed-a498-4180-99e1-b6b08b3761a3,Comfort Spa Resort Darjeeling,Darjeeling,West Bengal,India,budget,Comfortable property in the heart of Darjeeling.,1604,4.5,"[""Hot Water"", ""AC"", ""Reception 24x7""]",26.2446,74.2878,"143 Beach Road, Darjeeling",https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800
03888b9f-53b2-4dca-bf11-bdea5c8030a1,Heritage Chennai Cliff Resort,Chennai,Tamil Nadu,India,standard,Well-appointed resort in the heart of Chennai.,2437,3.6,"[""Parking"", ""AC"", ""TV"", ""Room Service"", ""WiFi"", ""Laundry"", ""Restaurant""]",23.8623,79.0317,"407 Beach Road, Chennai",https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800
a0f4810b-f32e-4b9d-890e-e7913be7e839,Mountain Munnar Suites,Munnar,Kerala,India,standard,Well-appointed resort in the heart of Munnar.,5244,4.1,"[""Parking"", ""Restaurant"", ""TV"", ""Laundry""]",15.8242,80.9086,"362 Main Road, Munnar",https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?w=800
e4085740-ef70-4042-ae6d-21726d421cde,Budget Heritage Hotel Muscat,Muscat,Muscat,Oman,budget,Comfortable hotel in the heart of Muscat.,609,3.3,"[""Hot Water"", ""Reception 24x7"", ""WiFi"", ""AC"", ""TV""]",28.0767,74.0248,"40 MG Road, Muscat",https://images.unsplash.com/photo-1445019980597-93fa8acb246c?w=800
8767a985-3253-4dd8-b0be-07c8c4c33ce7,Value Jungle Lodge Hampi,Hampi,Karnataka,India,budget,Comfortable property in the heart of Hampi.,548,3.6,"[""WiFi"", ""Reception 24x7"", ""Hot Water"", ""AC"", ""TV""]",16.0811,88.6718,"76 Beach Road, Hampi",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800
878497f4-4546-463c-a7c3-5fbcbdcd53b5,Economy Lake Resort Kuala Lumpur,Kuala Lumpur,KL,Malaysia,budget,Comfortable property in the heart of Kuala Lumpur.,777,3.0,"[""Hot Water"", ""AC"", ""TV"", ""Reception 24x7"", ""WiFi""]",29.5189,-73.5724,"258 Beach Road, Kuala Lumpur",https://images.unsplash.com/photo-1582719508461-905c673771fd?w=800
