id,agency_name,package_name,destination,country,duration_days,price,rating,package_type,inclusions,exclusions,description
e757d9c8-aad9-4f3b-a821-7cfc69a83a0f,Budget Bees,Discover Japan 5N,Japan,Japan,5,19843,3.8,standard,"[""Breakfast"", ""Ayurveda Package"", ""Airport Transfer"", ""Cruise"", ""Cooking Class"", ""Spa Session"", ""Visa Assistance"", ""Sightseeing"", ""Snorkelling Kit"", ""Cultural Show""]","[""Laundry"", ""Mineral Water"", ""Personal Expenses"", ""Extra Meals""]",Experience the best of Japan with this standard 5-day package. Ideal for families and couples.
6b7b15cd-838c-442b-a746-68acb0532628,Nomad Travels,Coorg Grand Tour,Coorg,India,7,77336,4.3,premium,"[""All Meals"", ""Return Flights"", ""Photography Session"", ""Travel Insurance"", ""Snorkelling Kit"", ""Cycle Rental"", ""Entry Tickets""]","[""Alcohol"", ""Phone Calls"", ""Laundry""]",Experience the best of Coorg with this premium 7-day package. Premium experiences included.
48602b2b-4d31-4f1b-8093-ef0b878a426c,Adventure Awaits,Discover Sri Lanka 5N,Sri Lanka,Sri Lanka,5,67440,4.6,premium,"[""Photography Session"", ""Cooking Class"", ""Desert Camp"", ""Cultural Show"", ""All Meals"", ""Visa Assistance"", ""Snorkelling Kit"", ""Ayurveda Package"", ""Entry Tickets"", ""Bonfire Evening""]","[""Alcohol"", ""Personal Expenses"", ""Laundry"", ""Travel Insurance"", ""Porterage"", ""Camera Fee""]",Experience the best of Sri Lanka with this premium 5-day package. Premium experiences included.
83cd7fb5-d77b-4ff6-96a8-4a49a2142cf7,Eco Voyages,3 Days in Bali,Bali,Indonesia,3,6470,3.7,budget,"[""Houseboat Night"", ""Hotel Stay"", ""Local Transport"", ""All Meals"", ""Breakfast"", ""Entry Tickets"", ""Snorkelling Kit"", ""Safari"", ""Cooking Class""]","[""Extra Meals"", ""Laundry"", ""Alcohol""]",Experience the best of Bali with this budget 3-day package. Perfect for budget travelers.
c284a5b5-2aac-40c4-a39a-66cd8e8330ce,Backpacker Hub,Discover Australia 7N,Australia,Australia,7,18514,4.0,standard,"[""Spa Session"", ""Adventure Activities"", ""Airport Transfer"", ""Cruise"", ""Breakfast"", ""Travel Insurance"", ""All Meals"", ""Entry Tickets"", ""Camping Gear""]","[""Alcohol"", ""Porterage"", ""Mineral Water"", ""Optional Activities""]",Experience the best of Australia with this standard 7-day package. Ideal for families and couples.
62af752d-bc65-4e9d-b174-f4dd04599b16,Kerala Dreams,Agra Escape Package,Agra,India,8,18209,3.6,standard,"[""Guided Tour"", ""Breakfast"", ""Cultural Show"", ""Hotel Stay""]","[""Optional Activities"", ""Camera Fee"", ""Porterage"", ""Gratuities"", ""Tips"", ""Mineral Water""]",Experience the best of Agra with this standard 8-day package. Ideal for families and couples.
4727cdd7-7293-4a32-9a4b-49e8f60ecacf,Adventure Awaits,Morocco Budget 4N/5D,Morocco,Morocco,4,8762,4.6,budget,"[""Safari"", ""Return Flights"", ""Adventure Activities"", ""Spa Session"", ""Cycle Rental"", ""Guided Tour"", ""Airport Transfer"", ""Cooking Class"", ""Photography Session""]","[""Optional Activities"", ""Alcohol"", ""Tips"", ""Gratuities"", ""Porterage"", ""Camera Fee""]",Experience the best of Morocco with this budget 4-day package. Perfect for budget travelers.
5caae370-86da-478a-afec-dd652e802e9b,Eco Voyages,Jaipur Escape Package,Jaipur,India,5,25835,4.6,standard,"[""Sightseeing"", ""Return Flights"", ""Breakfast"", ""Houseboat Night""]","[""Alcohol"", ""Tips"", ""Personal Expenses"", ""Laundry"", ""Visa Fee""]",Experience the best of Jaipur with this standard 5-day package. Ideal for families and couples.
b01a072b-59be-451c-96d1-4cea5f7a4d48,Luxury Escapes,Golden Triangle Budget 3N/4D,Golden Triangle,India,3,10487,4.2,budget,"[""Houseboat Night"", ""Ayurveda Package"", ""Adventure Activities"", ""Camping Gear"", ""Travel Insurance"", ""All Meals"", ""Spa Session"", ""Airport Transfer""]","[""Personal Expenses"", ""Travel Insurance"", ""Mineral Water"", ""Gratuities""]",Experience the best of Golden Triangle with this budget 3-day package. Perfect for budget travelers.
50354b36-664e-42e4-88a4-f1450ef8d463,Temple Trails,Manali Explorer 5N/6D,Manali,India,5,29916,4.2,standard,"[""Guided Tour"", ""Ayurveda Package"", ""Entry Tickets"", ""Photography Session"", ""Houseboat Night"", ""Return Flights""]","[""Camera Fee"", ""Alcohol"", ""Optional Activities""]",Experience the best of Manali with this standard 5-day package. Ideal for families and couples.
